Volatility 3 Framework 2.3.0

Cache	FileObject	FileName	Result
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0ef94150	NTUSER.DAT	file.0xb78f0ef94150.0xb78f0ed21470.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f0ef94150	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f26104b80	BCD	Error dumping file
SharedCacheMap	0xb78f26104b80	BCD	Error dumping file
DataSectionObject	0xb78f0ef94600	NTUSER.DAT	file.0xb78f0ef94600.0xb78f0ed1fa30.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f0ef94600	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
SharedCacheMap	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
DataSectionObject	0xb78f1ff63710	dosvcState.dat	Error dumping file
SharedCacheMap	0xb78f1ff63710	dosvcState.dat	Error dumping file
DataSectionObject	0xb78f1ea87890	User.dat	file.0xb78f1ea87890.0xb78f20104710.DataSectionObject.User.dat.dat
SharedCacheMap	0xb78f1ea87890	User.dat	Error dumping file
DataSectionObject	0xb78f1a41d8f0	settings.dat	Error dumping file
SharedCacheMap	0xb78f1a41d8f0	settings.dat	Error dumping file
DataSectionObject	0xb78f101155b0	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f101155b0	ActivationStore.dat	file.0xb78f101155b0.0xb78f109afc80.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f1a419110	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f1a419110	ActivationStore.dat	file.0xb78f1a419110.0xb78f1cd3ecc0.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f1d58e780	settings.dat	Error dumping file
SharedCacheMap	0xb78f1d58e780	settings.dat	Error dumping file
DataSectionObject	0xb78f2224b390	settings.dat	Error dumping file
SharedCacheMap	0xb78f2224b390	settings.dat	Error dumping file
DataSectionObject	0xb78f19762db0	settings.dat	Error dumping file
SharedCacheMap	0xb78f19762db0	settings.dat	Error dumping file
DataSectionObject	0xb78f1ea89960	ca312e1e7b949dc.dat	file.0xb78f1ea89960.0xb78f201045d0.DataSectionObject.ca312e1e7b949dc.dat.dat
SharedCacheMap	0xb78f1ea89960	ca312e1e7b949dc.dat	file.0xb78f1ea89960.0xb78f158eeda0.SharedCacheMap.ca312e1e7b949dc.dat.vacb
DataSectionObject	0xb78f1ea862b0	ca312e1e7b949dc_COM15.dat	Error dumping file
SharedCacheMap	0xb78f1ea862b0	ca312e1e7b949dc_COM15.dat	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f1976f8d0	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f1976f8d0	ActivationStore.dat	file.0xb78f1976f8d0.0xb78f12985d80.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f1ea89960	ca312e1e7b949dc.dat	file.0xb78f1ea89960.0xb78f201045d0.DataSectionObject.ca312e1e7b949dc.dat.dat
SharedCacheMap	0xb78f1ea89960	ca312e1e7b949dc.dat	file.0xb78f1ea89960.0xb78f158eeda0.SharedCacheMap.ca312e1e7b949dc.dat.vacb
DataSectionObject	0xb78f1975f700	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f1975f700	ActivationStore.dat	file.0xb78f1975f700.0xb78f132d9ca0.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f22d96930	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f22d96930	ActivationStore.dat	file.0xb78f22d96930.0xb78f18ae4250.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f22d9dcd0	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f22d9dcd0	ActivationStore.dat	file.0xb78f22d9dcd0.0xb78f129b0c70.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f25a38810	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f25a38810	ActivationStore.dat	file.0xb78f25a38810.0xb78f1cdd7cf0.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f0ef56660	settings.dat	Error dumping file
SharedCacheMap	0xb78f0ef56660	settings.dat	Error dumping file
DataSectionObject	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
SharedCacheMap	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
DataSectionObject	0xb78f10b9c730	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f10b9c730	ActivationStore.dat	file.0xb78f10b9c730.0xb78f104aaa60.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f1a40be20	settings.dat	Error dumping file
SharedCacheMap	0xb78f1a40be20	settings.dat	Error dumping file
DataSectionObject	0xb78f214714f0	ActivationStore.dat	Error dumping file
SharedCacheMap	0xb78f214714f0	ActivationStore.dat	file.0xb78f214714f0.0xb78f1fcd7d80.SharedCacheMap.ActivationStore.dat.vacb
DataSectionObject	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
SharedCacheMap	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
DataSectionObject	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
SharedCacheMap	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
